POA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA2899,351,186,154,250,297,409,319,174,50,2188
POA6798,285,127,319,271,263,210,178,32,4,1692
POA6799,130,49,65,85,53,111,63,33,11,593
POA9494,5643,5840,9793,8616,7674,7709,5421,1187,183,52069
POA9797,4,72,189,275,190,103,20,4,0,864
