POA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
POA2899,0,3,3,3,12,9,5,0,0,38,14,12,3,4,10,9,3,5,0,54,94,183,141,127,255,189,50,84,15,1139
POA6798,3,0,0,3,0,6,0,9,0,20,0,11,0,0,12,6,4,0,10,43,27,105,38,30,207,161,45,130,28,771
POA6799,0,0,0,0,0,0,0,0,0,4,0,4,0,0,6,5,0,7,0,21,3,47,17,18,47,42,12,57,0,239
POA9494,44,47,42,21,68,57,10,35,8,329,63,80,43,44,74,87,13,81,186,674,1199,1672,1298,806,1793,1750,482,1505,386,10888
POA9797,0,0,0,0,0,0,0,0,0,4,11,5,0,0,0,0,0,36,0,54,20,15,5,0,6,15,14,302,14,400
