POA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
POA2899,860,983,1839,333,251,578,150,303,455,45,58,103,20,15,33,545,627,1172,209,253,466,3.1,2.2,2.7,63.4,63.6,63.5,61.5,62.2,61.8,25,35,60,0,34,34,73,125,202,61,116,178,268,95,360,5,25,34,12,27,39,289,143,435,739,827,1564,179,176,350,503,562,1062,365,417,776
POA6798,856,546,1406,347,200,548,54,114,170,29,27,55,0,5,12,431,347,783,304,107,415,0.9,1.7,1.3,50.7,63.5,55.7,50.2,62.4,55,10,21,29,9,13,29,32,63,99,38,46,86,166,54,216,16,18,39,6,7,11,190,85,268,545,466,1009,109,105,208,397,350,746,211,189,397
POA6799,229,236,467,90,62,157,35,43,78,5,0,3,3,4,5,132,113,248,56,80,140,1.5,3.5,2.4,57.8,47.9,52.8,57,46.2,51.5,0,8,9,0,6,8,6,19,27,5,13,16,50,18,70,3,7,15,0,0,3,55,27,80,225,199,425,26,28,57,181,162,346,59,56,111
POA9494,25913,20508,46420,3480,2054,5538,1625,2145,3767,845,741,1585,1718,1237,2952,7670,6182,13847,8646,8340,16988,22.4,20,0,29.6,30.1,0,23,24.1,0,581,722,1305,187,377,567,1731,2470,4202,1125,1543,2678,4280,2207,6487,280,366,641,294,338,637,4852,2916,7764,5235,3604,8836,12963,12653,25619,3311,2111,5422,13932,13394,27326
POA9797,753,108,863,312,28,343,19,3,18,32,4,34,10,0,11,369,44,405,30,16,48,1.6,2.5,1.7,48.3,37.4,46.9,47.5,36.4,46.1,5,3,8,3,0,3,44,10,59,40,11,48,137,9,147,17,3,15,17,0,17,172,15,186,312,40,353,86,17,99,181,27,209,209,30,239
