POA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2899,0,0,5,6,4,14,4,3,0,38,3,3,6,11,8,10,7,4,0,54,64,65,125,189,228,297,131,36,4,1139
POA6798,0,0,3,9,6,4,3,0,0,20,0,4,7,3,8,10,13,0,0,43,30,32,150,155,182,141,85,0,0,771
POA6799,0,0,0,0,0,3,0,0,0,4,0,5,3,4,0,6,3,0,0,21,4,26,47,60,38,61,6,0,0,239
POA9494,17,36,94,69,64,35,11,0,0,329,23,68,175,169,123,89,21,10,0,674,463,1143,3463,2214,1749,1474,354,24,0,10888
POA9797,0,0,0,0,0,0,0,0,0,4,0,5,10,15,10,7,0,0,0,54,3,27,90,125,97,46,9,0,0,400
