POA_CODE_2021,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
POA2899,22,7,0,0,14,10,50,11,5,0,0,6,6,31,15,13,11,9,7,12,67,20,45,14,3,16,15,117,33,47,19,14,18,20,150,46,63,23,11,22,25,195,12,53,20,27,29,19,147,8,19,6,5,26,11,76,3,4,3,3,11,0,23,178,261,96,66,144,111,860,27,6,6,0,9,7,49,15,17,4,0,12,4,48,11,30,13,13,13,11,90,10,44,39,20,9,17,136,24,52,35,17,15,14,151,24,82,47,23,27,18,216,16,48,32,35,31,12,170,4,26,10,15,26,10,95,3,5,3,5,7,4,30,129,300,186,122,148,103,983,48,11,3,0,22,14,103,24,24,10,0,16,12,81,25,46,22,20,20,28,154,35,91,55,21,22,31,250,48,103,52,31,28,33,297,77,142,70,34,51,38,409,29,95,51,55,58,28,319,16,44,13,21,55,22,174,9,7,10,8
POA6798,5,3,0,0,10,3,22,3,4,0,0,7,30,52,25,18,3,0,42,138,221,23,14,7,9,28,73,146,16,36,11,3,32,50,152,25,29,14,6,22,13,111,17,29,8,5,50,23,128,4,0,0,0,8,0,16,0,0,0,0,0,0,4,128,137,44,28,189,338,856,14,6,0,0,13,3,32,4,0,0,4,10,3,23,12,18,10,12,22,23,94,12,41,18,13,19,20,117,12,36,19,9,16,11,109,11,27,13,15,19,16,99,0,10,6,8,22,5,52,0,0,3,0,5,3,14,0,0,0,0,0,0,0,72,140,77,52,122,86,546,17,9,0,0,20,11,54,14,8,0,4,17,31,73,40,42,13,9,59,160,319,32,52,25,16,44,95,271,31,70,34,15,52,65,263,40,52,27,19,45,27,210,19,33,16,9,70,24,178,9,4,8,7,14,0,32,0,0,0,0
POA6799,0,0,0,0,4,0,8,5,4,0,0,10,3,20,9,4,0,0,13,11,32,4,6,4,0,14,7,45,7,8,0,0,7,6,27,13,13,6,0,18,13,53,3,3,0,4,11,5,30,5,0,0,0,4,3,18,0,0,0,0,5,0,3,45,37,12,7,81,42,229,4,0,0,0,6,3,8,0,4,0,0,12,5,21,5,6,5,0,12,5,36,3,10,3,4,14,6,42,0,0,7,3,8,4,31,3,18,0,0,20,15,54,4,0,0,0,14,3,32,3,0,0,0,3,0,12,0,0,0,0,3,0,0,27,42,12,15,90,47,236,5,0,0,0,9,3,17,5,6,0,0,14,5,36,12,9,3,0,24,17,65,10,20,6,4,30,17,85,10,12,4,5,20,6,53,16,25,7,0,35,26,111,16,4,4,7,19,8,63,6,0,0,3,16,8,33,0,0,0,0
POA9494,244,67,9,10,362,348,1046,324,188,45,26,579,633,1800,846,635,160,105,1437,1861,5039,671,628,173,139,1100,2290,4995,582,519,171,77,1144,2111,4606,672,687,186,110,1123,1535,4310,457,622,215,127,1082,779,3277,88,110,44,35,287,189,754,12,0,5,3,25,35,79,3895,3445,1008,633,7142,9786,25913,318,140,27,17,352,354,1209,369,305,92,61,430,527,1786,780,815,302,336,1015,1507,4752,423,634,313,371,477,1396,3621,478,592,272,186,520,1019,3077,538,823,396,217,642,778,3397,254,458,283,160,572,417,2144,50,59,34,33,164,88,427,10,5,0,4,47,34,101,3218,3831,1718,1386,4231,6121,20508,564,208,37,30,710,703,2255,697,488,136,87,1015,1156,3585,1630,1447,466,437,2449,3365,9793,1089,1263,485,512,1578,3689,8616,1059,1106,438,264,1665,3135,7674,1211,1508,574,331,1769,2310,7709,714,1080,496,284,1659,1198,5421,139,166,79,70,451,272,1187,19,3,6,8
POA9797,0,0,0,0,7,7,12,5,0,0,0,13,14,37,11,6,4,0,60,76,160,17,10,4,9,88,132,258,5,15,0,4,64,83,179,3,3,3,4,35,44,91,0,4,0,0,11,10,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,43,39,15,12,284,365,753,0,0,0,0,0,0,3,7,3,0,0,3,10,23,0,0,0,0,7,18,32,0,0,4,0,4,12,22,0,3,0,0,10,3,11,0,0,4,0,0,5,17,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,6,8,31,54,108,0,0,0,0,8,5,11,8,3,0,0,22,27,58,13,6,4,3,69,91,189,18,10,6,9,94,140,275,5,12,0,4,76,92,190,3,6,6,4,37,47,103,3,4,0,0,9,7,20,0,0,0,0,0,0,4,0,0,0,0
