POA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA2899,0,0,0,0,3,3,9,6,0,26,0,0,0,0,0,3,0,0,0,4,10,10,24,33,42,55,30,29,7,238,43,81,154,250,297,409,319,174,50,1779
POA6798,0,0,0,4,10,22,48,10,3,98,0,0,0,0,6,0,14,14,0,34,3,28,158,95,75,37,29,4,0,438,22,73,319,271,261,209,178,32,4,1363
POA6799,0,0,6,0,0,5,3,0,0,14,0,0,0,0,0,25,32,20,11,86,5,8,17,16,14,22,15,5,0,99,9,36,64,83,54,113,61,33,11,449
POA9494,63,60,147,192,191,207,333,141,20,1360,15,20,46,38,47,49,35,11,10,270,676,1142,3331,3684,3150,2329,1250,291,83,15924,1705,3569,9789,8613,7674,7703,5421,1182,183,45837
POA9797,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,9,7,29,90,141,94,48,7,0,0,421,11,58,189,275,195,103,20,4,0,864
