POA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA2899,143,19,10,3,0,0,0,171
POA6798,133,11,4,0,0,0,0,149
POA6799,70,3,0,0,0,0,0,77
POA9494,0,0,0,0,0,0,0,0
POA9797,0,0,0,0,0,0,0,0
