POA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA2899,15,7,50,312,558,279,192,290,216,1839
POA6798,0,0,4,198,275,116,79,309,423,1406
POA6799,5,0,11,71,85,22,19,176,89,467
POA9494,72,68,183,7115,7277,2726,2021,11377,15910,46420
POA9797,0,0,0,51,49,21,20,309,419,863
