POA_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA2899,5,14,30,25,31,39,27,12,0,188,0,19,18,30,54,58,20,8,4,220,4,9,24,33,45,46,16,4,0,183,0,3,11,20,21,28,17,3,3,98,0,0,0,17,19,31,5,0,0,69,0,0,4,10,9,16,6,3,0,50,0,0,6,18,18,24,5,0,0,75,0,0,0,0,7,5,0,0,0,9,0,0,0,3,0,4,3,3,0,13,14,11,25,35,37,46,26,24,7,218,103,81,154,250,297,409,319,174,50,1839
POA6798,3,0,5,8,7,6,5,0,0,47,3,3,16,9,14,12,6,0,0,67,0,6,28,15,22,14,13,0,0,106,5,3,25,15,23,16,13,0,0,98,0,0,20,25,21,21,17,0,0,103,0,6,16,24,19,14,12,0,0,94,0,3,13,31,48,27,10,0,0,147,0,0,3,5,8,13,8,0,0,29,0,0,3,6,6,5,3,0,0,17,8,28,159,93,70,31,23,0,0,424,54,73,319,271,263,210,178,32,4,1406
POA6799,0,0,3,5,6,5,11,3,0,36,0,8,13,9,7,9,0,0,0,47,0,6,14,6,8,13,0,0,0,37,0,0,5,5,4,4,0,0,0,23,0,0,0,7,4,6,0,5,0,16,0,0,0,4,3,4,4,0,0,14,0,0,0,12,3,11,0,0,0,28,0,0,0,4,0,4,0,0,0,6,0,0,0,0,4,0,0,0,0,7,3,5,17,10,6,20,7,8,0,84,17,36,65,85,53,111,63,33,11,467
POA9494,56,282,622,335,277,389,308,72,14,2350,41,287,821,365,335,365,209,42,8,2466,20,185,751,377,319,335,186,24,4,2204,0,75,425,273,205,215,98,10,0,1309,9,53,366,250,183,197,49,6,3,1125,0,16,225,186,129,138,44,6,0,747,0,24,335,352,245,172,34,8,0,1164,0,3,57,92,56,49,5,8,0,271,0,10,85,172,120,87,17,12,0,514,604,974,2756,2804,2359,1892,1087,237,64,12777,2255,3585,9793,8616,7674,7709,5421,1187,183,46420
POA9797,0,3,0,3,0,0,0,0,0,6,0,0,7,3,0,0,0,0,0,19,6,8,11,14,8,5,0,0,0,44,0,3,13,6,8,4,0,0,0,36,0,0,16,9,10,4,0,0,0,41,0,3,11,16,7,4,0,0,0,39,0,3,19,41,26,21,0,0,0,109,0,3,10,16,6,0,0,0,0,32,0,0,11,26,20,9,0,0,0,59,7,25,90,139,91,47,8,0,0,416,11,58,189,275,190,103,20,4,0,863
