SA3_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
90101,100,97,143,123,92,14,80,105,16,771
90102,37,34,40,39,21,12,11,46,0,239
90103,28,21,7,10,8,0,0,10,0,93
90104,187,145,199,158,157,112,45,113,18,1139
99797,0,0,0,0,0,0,0,0,0,0
99999,0,4,0,0,0,0,0,0,0,3
