SA3_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
90101,121,72,4,0,968
90102,54,15,13,0,249
90103,31,26,13,0,187
90104,269,215,103,30,1200
99797,0,0,0,0,0
99999,3,0,0,0,11
