SA3_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
90101,..,131,131,120,4,129,60,0,60,58,0,58,34,0,34,10,0,10,292,130,422
90102,..,9,9,36,0,35,18,0,18,13,0,13,14,0,14,26,0,26,114,9,122
90103,..,20,20,24,4,27,7,0,7,15,0,15,4,0,4,14,0,14,68,19,89
90104,..,342,342,320,19,341,96,0,93,75,0,75,39,0,37,12,0,12,539,361,898
99797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99999,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
