SA3_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
90101,133,11,4,0,0,0,0,149
90102,70,3,0,0,0,0,0,77
90103,13,3,0,0,0,0,0,18
90104,143,19,10,3,0,0,0,171
99797,0,0,0,0,0,0,0,0
99999,0,0,0,0,0,0,0,0
