RA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
RA91,0,0,0,44,40,13,28,40,80,246
RA94,25,4,67,578,921,419,289,774,728,3713
RA95,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,6,3,0,0,0,8,11
