RA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA91,31,26,13,0,187
RA94,445,309,119,29,2421
RA95,0,0,0,0,0
RA99,3,0,0,0,11
