RA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
RA91,7,21,32,7,4,71,20,89
RA94,56,540,493,200,107,1400,40,1444
RA95,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0
