RA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
RA91,24,14,12,15,14,8,14,7,0,106,65,42,32,35,47,37,27,16,0,310
RA94,105,72,203,146,126,97,74,40,6,875,759,363,544,605,616,729,561,239,67,4473
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,4,0,0,0,8,0,0,4,0,0,3,0,0,0,11
