RA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
RA91,28,21,7,10,8,0,0,10,0,93
RA94,330,278,380,319,270,132,135,260,38,2152
RA95,0,0,0,0,0,0,0,0,0,0
RA99,0,4,0,0,0,0,0,0,0,3
