RA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
RA91,0,0,0,25,20,0,44,121,80,246
RA94,57,4,67,568,216,39,825,2152,732,3713
RA95,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,4,0,0,4,6,3,11
