SED_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED99191,471,330,133,34,2605
SED99494,3,0,0,0,11
SED99797,0,0,0,0,0
