SED_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SED99191,364,299,391,333,279,135,135,270,43,2243
SED99494,0,4,0,0,0,0,0,0,0,3
SED99797,0,0,0,0,0,0,0,0,0,0
