SED_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SED99191,43,1300,831,200,1890,0.9,1497,2.4
SED99494,0,0,0,0,0,0,0,0
SED99797,0,0,0,0,0,0,0,0
